[2020-01-29 17:50:18,333] [autoreload.py:598] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-01-29 17:51:13,891] [autoreload.py:222] [autoreload:trigger_reload] [INFO]- E:\刘勇团队文件\项目相关\程序代码\PY-2020-ACM\mycode\acmer\acmerdata\bsdata.py changed, reloading.
[2020-01-29 17:51:16,026] [autoreload.py:598] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-01-29 17:51:18,584] [autoreload.py:222] [autoreload:trigger_reload] [INFO]- E:\刘勇团队文件\项目相关\程序代码\PY-2020-ACM\mycode\acmer\acmerdata\bsdata.py changed, reloading.
[2020-01-29 17:51:20,356] [autoreload.py:598] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-01-29 17:51:22,969] [autoreload.py:222] [autoreload:trigger_reload] [INFO]- E:\刘勇团队文件\项目相关\程序代码\PY-2020-ACM\mycode\acmer\acmerdata\bsdata.py changed, reloading.
[2020-01-29 17:51:24,912] [autoreload.py:598] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-01-29 17:51:25,460] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /acmerdata/ HTTP/1.1" 200 57913
[2020-01-29 17:51:27,699] [views.py:42] [views:getACData] [INFO]- 李腾飞start ac data
[2020-01-29 17:51:28,317] [views.py:45] [views:getACData] [INFO]- 李腾飞end ac data
[2020-01-29 17:51:28,318] [views.py:42] [views:getACData] [INFO]- 陈柯舟start ac data
[2020-01-29 17:51:28,869] [views.py:45] [views:getACData] [INFO]- 陈柯舟end ac data
[2020-01-29 17:51:28,870] [views.py:42] [views:getACData] [INFO]- 章文start ac data
[2020-01-29 17:51:29,401] [views.py:45] [views:getACData] [INFO]- 章文end ac data
[2020-01-29 17:51:29,402] [views.py:42] [views:getACData] [INFO]- 蒋恒start ac data
[2020-01-29 17:51:29,939] [views.py:45] [views:getACData] [INFO]- 蒋恒end ac data
[2020-01-29 17:51:29,940] [views.py:42] [views:getACData] [INFO]- 成亦峻start ac data
[2020-01-29 17:51:30,526] [views.py:45] [views:getACData] [INFO]- 成亦峻end ac data
[2020-01-29 17:51:30,527] [views.py:42] [views:getACData] [INFO]- 王润泽start ac data
[2020-01-29 17:51:31,098] [views.py:45] [views:getACData] [INFO]- 王润泽end ac data
[2020-01-29 17:51:31,099] [views.py:42] [views:getACData] [INFO]- 刘源源start ac data
[2020-01-29 17:51:31,634] [views.py:45] [views:getACData] [INFO]- 刘源源end ac data
[2020-01-29 17:51:31,634] [views.py:42] [views:getACData] [INFO]- 于博start ac data
[2020-01-29 17:51:32,202] [views.py:45] [views:getACData] [INFO]- 于博end ac data
[2020-01-29 17:51:32,202] [views.py:42] [views:getACData] [INFO]- 王玉龙start ac data
[2020-01-29 17:51:32,208] [views.py:45] [views:getACData] [INFO]- 王玉龙end ac data
[2020-01-29 17:51:32,208] [views.py:42] [views:getACData] [INFO]- 尤逸彬start ac data
[2020-01-29 17:51:32,711] [views.py:45] [views:getACData] [INFO]- 尤逸彬end ac data
[2020-01-29 17:51:32,712] [views.py:42] [views:getACData] [INFO]- 黄福龙start ac data
[2020-01-29 17:51:33,247] [views.py:45] [views:getACData] [INFO]- 黄福龙end ac data
[2020-01-29 17:51:33,248] [views.py:42] [views:getACData] [INFO]- 向煜start ac data
[2020-01-29 17:51:33,795] [views.py:45] [views:getACData] [INFO]- 向煜end ac data
[2020-01-29 17:51:33,795] [views.py:42] [views:getACData] [INFO]- 杜子涵start ac data
[2020-01-29 17:51:34,339] [views.py:45] [views:getACData] [INFO]- 杜子涵end ac data
[2020-01-29 17:51:34,339] [views.py:42] [views:getACData] [INFO]- 辛梓start ac data
[2020-01-29 17:51:34,883] [views.py:45] [views:getACData] [INFO]- 辛梓end ac data
[2020-01-29 17:51:34,884] [views.py:42] [views:getACData] [INFO]- 岳晨龙start ac data
[2020-01-29 17:51:35,433] [views.py:45] [views:getACData] [INFO]- 岳晨龙end ac data
[2020-01-29 17:51:35,434] [views.py:42] [views:getACData] [INFO]- 李公睿start ac data
[2020-01-29 17:51:35,966] [views.py:45] [views:getACData] [INFO]- 李公睿end ac data
[2020-01-29 17:51:35,967] [views.py:42] [views:getACData] [INFO]- 张炜亮start ac data
[2020-01-29 17:51:36,499] [views.py:45] [views:getACData] [INFO]- 张炜亮end ac data
[2020-01-29 17:51:36,500] [views.py:42] [views:getACData] [INFO]- 姜晨start ac data
[2020-01-29 17:51:37,038] [views.py:45] [views:getACData] [INFO]- 姜晨end ac data
[2020-01-29 17:51:37,039] [views.py:42] [views:getACData] [INFO]- 张鑫伟start ac data
[2020-01-29 17:51:37,551] [views.py:45] [views:getACData] [INFO]- 张鑫伟end ac data
[2020-01-29 17:51:37,552] [views.py:42] [views:getACData] [INFO]- 梁嘉豪start ac data
[2020-01-29 17:51:38,036] [views.py:45] [views:getACData] [INFO]- 梁嘉豪end ac data
[2020-01-29 17:51:38,036] [views.py:42] [views:getACData] [INFO]- 姜哲玺start ac data
[2020-01-29 17:51:38,525] [views.py:45] [views:getACData] [INFO]- 姜哲玺end ac data
[2020-01-29 17:51:38,526] [views.py:42] [views:getACData] [INFO]- 李思琪start ac data
[2020-01-29 17:51:39,099] [views.py:45] [views:getACData] [INFO]- 李思琪end ac data
[2020-01-29 17:51:39,100] [views.py:42] [views:getACData] [INFO]- 韩昊君start ac data
[2020-01-29 17:51:39,651] [views.py:45] [views:getACData] [INFO]- 韩昊君end ac data
[2020-01-29 17:51:39,652] [views.py:42] [views:getACData] [INFO]- 熊东东start ac data
[2020-01-29 17:51:40,135] [views.py:45] [views:getACData] [INFO]- 熊东东end ac data
[2020-01-29 17:51:40,136] [views.py:42] [views:getACData] [INFO]- 李楠start ac data
[2020-01-29 17:51:40,661] [views.py:45] [views:getACData] [INFO]- 李楠end ac data
[2020-01-29 17:51:40,662] [views.py:42] [views:getACData] [INFO]- 路飞杰start ac data
